id,image,points
0,train/images/0.png,train/points/0.npy
1,train/images/1.png,train/points/1.npy
10,train/images/10.png,train/points/10.npy
100,train/images/100.png,train/points/100.npy
101,train/images/101.png,train/points/101.npy
102,train/images/102.png,train/points/102.npy
103,train/images/103.png,train/points/103.npy
104,train/images/104.png,train/points/104.npy
105,train/images/105.png,train/points/105.npy
106,train/images/106.png,train/points/106.npy
107,train/images/107.png,train/points/107.npy
108,train/images/108.png,train/points/108.npy
109,train/images/109.png,train/points/109.npy
11,train/images/11.png,train/points/11.npy
110,train/images/110.png,train/points/110.npy
111,train/images/111.png,train/points/111.npy
112,train/images/112.png,train/points/112.npy
113,train/images/113.png,train/points/113.npy
114,train/images/114.png,train/points/114.npy
115,train/images/115.png,train/points/115.npy
116,train/images/116.png,train/points/116.npy
117,train/images/117.png,train/points/117.npy
118,train/images/118.png,train/points/118.npy
119,train/images/119.png,train/points/119.npy
12,train/images/12.png,train/points/12.npy
120,train/images/120.png,train/points/120.npy
121,train/images/121.png,train/points/121.npy
122,train/images/122.png,train/points/122.npy
123,train/images/123.png,train/points/123.npy
124,train/images/124.png,train/points/124.npy
125,train/images/125.png,train/points/125.npy
126,train/images/126.png,train/points/126.npy
127,train/images/127.png,train/points/127.npy
128,train/images/128.png,train/points/128.npy
129,train/images/129.png,train/points/129.npy
13,train/images/13.png,train/points/13.npy
130,train/images/130.png,train/points/130.npy
131,train/images/131.png,train/points/131.npy
132,train/images/132.png,train/points/132.npy
133,train/images/133.png,train/points/133.npy
134,train/images/134.png,train/points/134.npy
135,train/images/135.png,train/points/135.npy
136,train/images/136.png,train/points/136.npy
137,train/images/137.png,train/points/137.npy
138,train/images/138.png,train/points/138.npy
139,train/images/139.png,train/points/139.npy
14,train/images/14.png,train/points/14.npy
140,train/images/140.png,train/points/140.npy
141,train/images/141.png,train/points/141.npy
142,train/images/142.png,train/points/142.npy
143,train/images/143.png,train/points/143.npy
144,train/images/144.png,train/points/144.npy
145,train/images/145.png,train/points/145.npy
146,train/images/146.png,train/points/146.npy
147,train/images/147.png,train/points/147.npy
148,train/images/148.png,train/points/148.npy
149,train/images/149.png,train/points/149.npy
15,train/images/15.png,train/points/15.npy
150,train/images/150.png,train/points/150.npy
151,train/images/151.png,train/points/151.npy
