id,image,points
TCGA-18-5592-01Z-00-DX1,train/images/monuseg_00000_TCGA-18-5592-01Z-00-DX1.png,train/points/monuseg_00000_TCGA-18-5592-01Z-00-DX1.npy
TCGA-21-5784-01Z-00-DX1,train/images/monuseg_00001_TCGA-21-5784-01Z-00-DX1.png,train/points/monuseg_00001_TCGA-21-5784-01Z-00-DX1.npy
TCGA-21-5786-01Z-00-DX1,train/images/monuseg_00002_TCGA-21-5786-01Z-00-DX1.png,train/points/monuseg_00002_TCGA-21-5786-01Z-00-DX1.npy
TCGA-38-6178-01Z-00-DX1,train/images/monuseg_00003_TCGA-38-6178-01Z-00-DX1.png,train/points/monuseg_00003_TCGA-38-6178-01Z-00-DX1.npy
TCGA-49-4488-01Z-00-DX1,train/images/monuseg_00004_TCGA-49-4488-01Z-00-DX1.png,train/points/monuseg_00004_TCGA-49-4488-01Z-00-DX1.npy
TCGA-A7-A13E-01Z-00-DX1,train/images/monuseg_00006_TCGA-A7-A13E-01Z-00-DX1.png,train/points/monuseg_00006_TCGA-A7-A13E-01Z-00-DX1.npy
TCGA-A7-A13F-01Z-00-DX1,train/images/monuseg_00007_TCGA-A7-A13F-01Z-00-DX1.png,train/points/monuseg_00007_TCGA-A7-A13F-01Z-00-DX1.npy
TCGA-AR-A1AK-01Z-00-DX1,train/images/monuseg_00008_TCGA-AR-A1AK-01Z-00-DX1.png,train/points/monuseg_00008_TCGA-AR-A1AK-01Z-00-DX1.npy
TCGA-AY-A8YK-01A-01-TS1,train/images/monuseg_00010_TCGA-AY-A8YK-01A-01-TS1.png,train/points/monuseg_00010_TCGA-AY-A8YK-01A-01-TS1.npy
TCGA-B0-5698-01Z-00-DX1,train/images/monuseg_00011_TCGA-B0-5698-01Z-00-DX1.png,train/points/monuseg_00011_TCGA-B0-5698-01Z-00-DX1.npy
TCGA-B0-5711-01Z-00-DX1,train/images/monuseg_00013_TCGA-B0-5711-01Z-00-DX1.png,train/points/monuseg_00013_TCGA-B0-5711-01Z-00-DX1.npy
TCGA-BC-A217-01Z-00-DX1,train/images/monuseg_00014_TCGA-BC-A217-01Z-00-DX1.png,train/points/monuseg_00014_TCGA-BC-A217-01Z-00-DX1.npy
TCGA-CH-5767-01Z-00-DX1,train/images/monuseg_00015_TCGA-CH-5767-01Z-00-DX1.png,train/points/monuseg_00015_TCGA-CH-5767-01Z-00-DX1.npy
TCGA-DK-A2I6-01A-01-TS1,train/images/monuseg_00016_TCGA-DK-A2I6-01A-01-TS1.png,train/points/monuseg_00016_TCGA-DK-A2I6-01A-01-TS1.npy
TCGA-E2-A14V-01Z-00-DX1,train/images/monuseg_00017_TCGA-E2-A14V-01Z-00-DX1.png,train/points/monuseg_00017_TCGA-E2-A14V-01Z-00-DX1.npy
TCGA-E2-A1B5-01Z-00-DX1,train/images/monuseg_00018_TCGA-E2-A1B5-01Z-00-DX1.png,train/points/monuseg_00018_TCGA-E2-A1B5-01Z-00-DX1.npy
TCGA-F9-A8NY-01Z-00-DX1,train/images/monuseg_00019_TCGA-F9-A8NY-01Z-00-DX1.png,train/points/monuseg_00019_TCGA-F9-A8NY-01Z-00-DX1.npy
TCGA-G2-A2EK-01A-02-TSB,train/images/monuseg_00021_TCGA-G2-A2EK-01A-02-TSB.png,train/points/monuseg_00021_TCGA-G2-A2EK-01A-02-TSB.npy
TCGA-G9-6348-01Z-00-DX1,train/images/monuseg_00023_TCGA-G9-6348-01Z-00-DX1.png,train/points/monuseg_00023_TCGA-G9-6348-01Z-00-DX1.npy
TCGA-G9-6356-01Z-00-DX1,train/images/monuseg_00024_TCGA-G9-6356-01Z-00-DX1.png,train/points/monuseg_00024_TCGA-G9-6356-01Z-00-DX1.npy
TCGA-G9-6362-01Z-00-DX1,train/images/monuseg_00025_TCGA-G9-6362-01Z-00-DX1.png,train/points/monuseg_00025_TCGA-G9-6362-01Z-00-DX1.npy
TCGA-HE-7129-01Z-00-DX1,train/images/monuseg_00028_TCGA-HE-7129-01Z-00-DX1.png,train/points/monuseg_00028_TCGA-HE-7129-01Z-00-DX1.npy
TCGA-HE-7130-01Z-00-DX1,train/images/monuseg_00029_TCGA-HE-7130-01Z-00-DX1.png,train/points/monuseg_00029_TCGA-HE-7130-01Z-00-DX1.npy
TCGA-KB-A93J-01A-01-TS1,train/images/monuseg_00030_TCGA-KB-A93J-01A-01-TS1.png,train/points/monuseg_00030_TCGA-KB-A93J-01A-01-TS1.npy
TCGA-MH-A561-01Z-00-DX1,train/images/monuseg_00031_TCGA-MH-A561-01Z-00-DX1.png,train/points/monuseg_00031_TCGA-MH-A561-01Z-00-DX1.npy
TCGA-NH-A8F7-01A-01-TS1,train/images/monuseg_00032_TCGA-NH-A8F7-01A-01-TS1.png,train/points/monuseg_00032_TCGA-NH-A8F7-01A-01-TS1.npy
TCGA-RD-A8N9-01A-01-TS1,train/images/monuseg_00033_TCGA-RD-A8N9-01A-01-TS1.png,train/points/monuseg_00033_TCGA-RD-A8N9-01A-01-TS1.npy
TCGA-UZ-A9PJ-01Z-00-DX1,train/images/monuseg_00034_TCGA-UZ-A9PJ-01Z-00-DX1.png,train/points/monuseg_00034_TCGA-UZ-A9PJ-01Z-00-DX1.npy
TCGA-UZ-A9PN-01Z-00-DX1,train/images/monuseg_00035_TCGA-UZ-A9PN-01Z-00-DX1.png,train/points/monuseg_00035_TCGA-UZ-A9PN-01Z-00-DX1.npy
TCGA-XS-A8TJ-01Z-00-DX1,train/images/monuseg_00036_TCGA-XS-A8TJ-01Z-00-DX1.png,train/points/monuseg_00036_TCGA-XS-A8TJ-01Z-00-DX1.npy
