id,image,points
1,train/images/conic_00001.png,train/points/conic_00001.npy
2,train/images/conic_00002.png,train/points/conic_00002.npy
3,train/images/conic_00003.png,train/points/conic_00003.npy
4,train/images/conic_00004.png,train/points/conic_00004.npy
5,train/images/conic_00005.png,train/points/conic_00005.npy
6,train/images/conic_00006.png,train/points/conic_00006.npy
9,train/images/conic_00009.png,train/points/conic_00009.npy
11,train/images/conic_00011.png,train/points/conic_00011.npy
12,train/images/conic_00012.png,train/points/conic_00012.npy
13,train/images/conic_00013.png,train/points/conic_00013.npy
14,train/images/conic_00014.png,train/points/conic_00014.npy
16,train/images/conic_00016.png,train/points/conic_00016.npy
17,train/images/conic_00017.png,train/points/conic_00017.npy
19,train/images/conic_00019.png,train/points/conic_00019.npy
21,train/images/conic_00021.png,train/points/conic_00021.npy
22,train/images/conic_00022.png,train/points/conic_00022.npy
23,train/images/conic_00023.png,train/points/conic_00023.npy
24,train/images/conic_00024.png,train/points/conic_00024.npy
25,train/images/conic_00025.png,train/points/conic_00025.npy
26,train/images/conic_00026.png,train/points/conic_00026.npy
27,train/images/conic_00027.png,train/points/conic_00027.npy
28,train/images/conic_00028.png,train/points/conic_00028.npy
29,train/images/conic_00029.png,train/points/conic_00029.npy
31,train/images/conic_00031.png,train/points/conic_00031.npy
33,train/images/conic_00033.png,train/points/conic_00033.npy
34,train/images/conic_00034.png,train/points/conic_00034.npy
37,train/images/conic_00037.png,train/points/conic_00037.npy
38,train/images/conic_00038.png,train/points/conic_00038.npy
39,train/images/conic_00039.png,train/points/conic_00039.npy
40,train/images/conic_00040.png,train/points/conic_00040.npy
44,train/images/conic_00044.png,train/points/conic_00044.npy
45,train/images/conic_00045.png,train/points/conic_00045.npy
46,train/images/conic_00046.png,train/points/conic_00046.npy
48,train/images/conic_00048.png,train/points/conic_00048.npy
50,train/images/conic_00050.png,train/points/conic_00050.npy
53,train/images/conic_00053.png,train/points/conic_00053.npy
54,train/images/conic_00054.png,train/points/conic_00054.npy
55,train/images/conic_00055.png,train/points/conic_00055.npy
57,train/images/conic_00057.png,train/points/conic_00057.npy
58,train/images/conic_00058.png,train/points/conic_00058.npy
59,train/images/conic_00059.png,train/points/conic_00059.npy
60,train/images/conic_00060.png,train/points/conic_00060.npy
62,train/images/conic_00062.png,train/points/conic_00062.npy
63,train/images/conic_00063.png,train/points/conic_00063.npy
64,train/images/conic_00064.png,train/points/conic_00064.npy
66,train/images/conic_00066.png,train/points/conic_00066.npy
67,train/images/conic_00067.png,train/points/conic_00067.npy
68,train/images/conic_00068.png,train/points/conic_00068.npy
70,train/images/conic_00070.png,train/points/conic_00070.npy
72,train/images/conic_00072.png,train/points/conic_00072.npy
74,train/images/conic_00074.png,train/points/conic_00074.npy
75,train/images/conic_00075.png,train/points/conic_00075.npy
76,train/images/conic_00076.png,train/points/conic_00076.npy
77,train/images/conic_00077.png,train/points/conic_00077.npy
79,train/images/conic_00079.png,train/points/conic_00079.npy
81,train/images/conic_00081.png,train/points/conic_00081.npy
82,train/images/conic_00082.png,train/points/conic_00082.npy
83,train/images/conic_00083.png,train/points/conic_00083.npy
85,train/images/conic_00085.png,train/points/conic_00085.npy
87,train/images/conic_00087.png,train/points/conic_00087.npy
89,train/images/conic_00089.png,train/points/conic_00089.npy
90,train/images/conic_00090.png,train/points/conic_00090.npy
91,train/images/conic_00091.png,train/points/conic_00091.npy
93,train/images/conic_00093.png,train/points/conic_00093.npy
94,train/images/conic_00094.png,train/points/conic_00094.npy
99,train/images/conic_00099.png,train/points/conic_00099.npy
100,train/images/conic_00100.png,train/points/conic_00100.npy
102,train/images/conic_00102.png,train/points/conic_00102.npy
103,train/images/conic_00103.png,train/points/conic_00103.npy
105,train/images/conic_00105.png,train/points/conic_00105.npy
106,train/images/conic_00106.png,train/points/conic_00106.npy
107,train/images/conic_00107.png,train/points/conic_00107.npy
109,train/images/conic_00109.png,train/points/conic_00109.npy
111,train/images/conic_00111.png,train/points/conic_00111.npy
112,train/images/conic_00112.png,train/points/conic_00112.npy
113,train/images/conic_00113.png,train/points/conic_00113.npy
114,train/images/conic_00114.png,train/points/conic_00114.npy
115,train/images/conic_00115.png,train/points/conic_00115.npy
116,train/images/conic_00116.png,train/points/conic_00116.npy
